n,pearson_r,pearson_p,spearman_r,spearman_p,mae,mse,rmse,mean_true,mean_pred,std_true,std_pred,method,dimension
31,0.5093683218800996,0.003425696383995318,0.5087238972209431,0.0034735708087916227,1.059139784967742,1.66577060934767,1.2906473605705278,2.940860215032258,2.774193548387097,1.4088483737943305,1.127648922125712,openai_no_roberta,opinion_news
34,0.39791131275083264,0.019775360468241496,0.3384553605621623,0.05023976398876789,0.879901960764706,1.498570261405229,1.224161043901181,2.6838235294117645,2.264705882352941,0.9983195463164477,1.0929943632977674,openai_no_roberta,nuance
29,0.42930890512338216,0.02012331290926085,0.4576362276055757,0.012553536025100374,1.0,1.5517241379310345,1.2456821978060995,2.9310344827586206,2.793103448275862,1.3372909951493321,0.8460582169920895,openai_no_roberta,order_creativity
33,0.5622038458661712,0.0006614226719964835,0.5953629383528568,0.00025725569243814845,0.8434343434242424,1.2954545454141415,1.1381803659412428,2.6616161616060605,2.878787878787879,1.3367915055791355,0.9131223741405675,openai_no_roberta,prevention_promotion
44,0.584679093747238,3.078231601274049e-05,0.6226311708712858,6.393851926611816e-06,0.5568181818181818,0.6635101010126263,0.8145612935885342,2.897727272727273,2.9318181818181817,0.9542673356349015,0.8089759877526221,openai_no_roberta,compassion_contempt
31,0.5457050655830625,0.0014969976131311703,0.5556635782884705,0.0011735610150892767,0.962365591419355,1.568996415799283,1.2525958709014184,2.940860215032258,3.032258064516129,1.4088483737943305,1.1773088768319135,openai_with_roberta,opinion_news
34,0.3519772260367597,0.04120694977228481,0.2619021119278865,0.13458200777441914,1.0269607842941175,1.7926879084640523,1.3389129577623977,2.6838235294117645,2.2058823529411766,0.9983195463164477,1.1827040742872412,openai_with_roberta,nuance
29,0.2726393152872362,0.1524595092086533,0.2378575913442657,0.21405778693622823,1.0689655172413792,2.1379310344827585,1.4621665549733924,2.9310344827586206,2.4827586206896552,1.3372909951493321,0.8952244817756668,openai_with_roberta,order_creativity
33,0.5541227028636881,0.000820399686078761,0.5296477645283372,0.0015255051306156536,0.8737373737272727,1.244949494929293,1.1157730481281993,2.6616161616060605,2.727272727272727,1.3367915055791355,0.7890434282600931,openai_with_roberta,prevention_promotion
44,0.36259232693621823,0.015568553713020617,0.33032872389812995,0.028527430703736388,0.6553030303181818,0.8301767676944444,0.9111403666254966,2.897727272727273,3.0681818181818183,0.9542673356349015,0.44709808120240907,openai_with_roberta,compassion_contempt
31,0.710079007264675,7.666570220981551e-06,0.7112164651268692,7.301569802453539e-06,0.6935483870967742,1.0851254480573476,1.041693548054008,2.940860215032258,2.935483870967742,1.4088483737943305,1.3182462414001646,gemini_no_roberta,opinion_news
34,0.4140097741528357,0.014928115773245158,0.3381787176203292,0.050439831593015655,1.1544117647058822,1.8907271241699344,1.3750371355603217,2.6838235294117645,2.3529411764705883,0.9983195463164477,1.390775343239634,gemini_no_roberta,nuance
29,0.7523849626727089,2.5115267505690014e-06,0.6920482250137915,3.199778941980473e-05,0.9310344827586207,1.2758620689655173,1.1295406451144276,2.9310344827586206,2.3793103448275863,1.3372909951493321,1.4482758620689655,gemini_no_roberta,order_creativity
33,0.7772646144127839,1.0371067661001015e-07,0.7752535324849709,1.1741672976493816e-07,0.7525252525151515,1.14393939389899,1.069551024448572,2.6616161616060605,2.1515151515151514,1.3367915055791355,1.4589579536012998,gemini_no_roberta,prevention_promotion
44,0.7248644463169747,2.6381068145849374e-08,0.7322091383157573,1.6189733286236394e-08,0.6628787878636363,0.8301767676489898,0.9111403666005529,2.897727272727273,3.0,0.9542673356349015,1.3142574813455419,gemini_no_roberta,compassion_contempt
30,0.5858130700540047,0.0006707428834369541,0.57653366716104,0.00085398642113125,0.9166666666666666,1.5212962963259258,1.2334084061355857,2.8722222222,3.1333333333333333,1.3802061932285405,1.2578641509408806,gemini_with_roberta,opinion_news
33,0.4167859483605402,0.015826890468089036,0.3780062456565213,0.03008654150175941,1.073232323212121,1.8419612793872053,1.3571887412542167,2.6742424242424243,2.5757575757575757,1.011791514672438,1.414862730900455,gemini_with_roberta,nuance
28,0.7506416917387254,4.205237544084708e-06,0.7199741815657478,1.566314977660861e-05,0.6071428571428571,1.0,1.0,2.9285714285714284,2.607142857142857,1.360897063089832,1.318529638712481,gemini_with_roberta,order_creativity
32,0.754729272302075,6.026498487587267e-07,0.709732459733855,5.395637657286085e-06,0.71354166665625,1.0130208333333335,1.0064893607650969,2.65104166665625,2.46875,1.3561583910252835,1.4574029770451273,gemini_with_roberta,prevention_promotion
43,0.7019107463010095,1.566953729271348e-07,0.7041417016360902,1.3758636500295125e-07,0.6550387596744186,0.8262273901524547,0.9089705111566903,2.895348837209302,2.9767441860465116,0.9651707590333242,1.2665347724828,gemini_with_roberta,compassion_contempt
31,0.6091399198005216,0.00027600724808525133,0.5882166897474611,0.0005010455684605354,0.8548387096774194,1.2679211469605733,1.1260200473173527,2.940860215032258,2.838709677419355,1.4088483737943305,0.9536609999415794,openai_flagship,opinion_news
34,0.573378283394065,0.000393015819983089,0.530547520027483,0.001247538307382307,0.6740196078235294,0.7142565359346404,0.8451369924069354,2.6838235294117645,2.764705882352941,0.9983195463164477,0.7692174606248248,openai_flagship,nuance
29,0.5754563668772537,0.001090758073318412,0.5773792674154808,0.0010400359604877396,0.8620689655172413,1.2413793103448276,1.1141720290623112,2.9310344827586206,3.1379310344827585,1.3372909951493321,0.8189201439336495,openai_flagship,order_creativity
